"","date","county","state","cases","deaths","cs","casemax","deathmax","n","firstday","chard","hard","ndate","CasePctIncrease","dcases"
"1",2020-03-15,"Jefferson","Alabama",13,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18336,NA,-0.19640261686119
"2",2020-03-16,"Jefferson","Alabama",17,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18337,23.5294117647059,0.347031288112468
"3",2020-03-17,"Jefferson","Alabama",21,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18338,19.047619047619,2.15359516573982
"4",2020-03-18,"Jefferson","Alabama",25,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18339,16,3.45105076570844
"5",2020-03-19,"Jefferson","Alabama",34,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18340,26.4705882352941,2.89031508125746
"6",2020-03-20,"Jefferson","Alabama",50,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18341,32,0.408793565517592
"7",2020-03-21,"Jefferson","Alabama",61,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18342,18.0327868852459,-2.70702532161955
"8",2020-03-22,"Jefferson","Alabama",71,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18343,14.0845070422535,1.00889414101041
"9",2020-03-23,"Jefferson","Alabama",86,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18344,17.4418604651163,8.41364926276468
"10",2020-03-24,"Jefferson","Alabama",91,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18345,5.49450549450549,8.89830163183608
"11",2020-03-25,"Jefferson","Alabama",129,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18346,29.4573643410853,2.85031924157177
"12",2020-03-26,"Jefferson","Alabama",173,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18347,25.4335260115607,-2.93301802214877
"13",2020-03-27,"Jefferson","Alabama",179,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18348,3.35195530726257,-2.0418982667932
"14",2020-03-28,"Jefferson","Alabama",214,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18349,16.3551401869159,-1.67075750345203
"15",2020-03-29,"Jefferson","Alabama",246,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18350,13.0081300813008,-3.03384484821582
"16",2020-03-30,"Jefferson","Alabama",257,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18351,4.28015564202335,-0.150973406084609
"17",2020-03-31,"Jefferson","Alabama",282,0,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18352,8.86524822695035,2.96698380425258
"18",2020-04-01,"Jefferson","Alabama",305,4,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18353,7.54098360655738,2.85052835707681
