"","date","county","state","cases","deaths","cs","casemax","deathmax","n","firstday","chard","hard","ndate","CasePctIncrease","dcases","d1"
"1",2020-04-06,"Walker","Texas",15,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18358,NA,0.800320983712183,0.270516970295436
"2",2020-04-07,"Walker","Texas",15,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18359,0,0.806561621106555,0.305659941089351
"3",2020-04-08,"Walker","Texas",15,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18360,0,0.824507455840255,0.450750202332897
"4",2020-04-09,"Walker","Texas",18,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18361,16.6666666666667,0.85854735303887,0.690990247638905
"5",2020-04-10,"Walker","Texas",18,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18362,0,0.922648009177525,1.22244672109027
"6",2020-04-11,"Walker","Texas",18,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18363,0,0.993952993504608,2.3815080685274
"7",2020-04-12,"Walker","Texas",18,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18364,0,1.04067015155836,4.25384120027528
"8",2020-04-13,"Walker","Texas",21,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18365,14.2857142857143,1.02129004128907,6.45042409853831
"9",2020-04-14,"Walker","Texas",38,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18366,44.7368421052632,0.941193361771756,8.04956477225416
"10",2020-04-15,"Walker","Texas",38,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18367,0,0.846594964732119,8.821912572411
"11",2020-04-16,"Walker","Texas",58,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18368,34.4827586206897,0.780044105183265,8.64972936070308
"12",2020-04-17,"Walker","Texas",67,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18369,13.4328358208955,0.784765327537325,7.66866486029404
"13",2020-04-18,"Walker","Texas",68,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18370,1.47058823529412,0.881722236478161,7.14993335547198
"14",2020-04-19,"Walker","Texas",77,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18371,11.6883116883117,1.02219046926598,7.84379701215254
"15",2020-04-20,"Walker","Texas",73,0,"Walker   Texas",1868,27,77,2020-03-25,NA,2020-04-02,18372,-5.47945205479452,1.12696088751763,10.054261330179
